customer_id,customer_name,email,city,state,registration_date
CUST-0300001,Jennifer Lewis,jennifer.lewis300001@gmail.com,Austin,TX,2025-06-10
CUST-0300002,Kimberly Hernandez,kimberly.hernandez300002@yahoo.com,Austin,TX,2023-06-08
CUST-0300003,Michelle King,michelle.king300003@aol.com,Boston,MA,2025-02-03
CUST-0300004,Patricia Flores,patricia.flores300004@mail.com,Tampa,FL,2019-07-25
CUST-0300005,Susan Robinson,susan.robinson300005@icloud.com,Tampa,FL,2025-09-07
CUST-0300006,Steven Jones,steven.jones300006@outlook.com,Chicago,IL,2023-05-20
"  cust-0300007 ",Andrew Garcia,andrew.garcia300007@aol.com,Indianapolis,IN,2025-04-10
CUST-0300008,John White,john.white300008@protonmail.com,Columbus,OH,2021-07-27
CUST-0300009,Mary Lewis,mary.lewis300009@gmail.com,Atlanta,GA,2025-08-25
CUST-0300010,Donald King,donald.king300010@aol.com,New York,NY,2024-06-29
CUST-0300011,Charles Davis,charles.davis300011@hotmail.com,Indianapolis,IN,2020-01-09
CUST-0300012,Robert Jackson,robert.jackson300012@protonmail.com,Boston,MA,2018-06-27
CUST-0300013,William Jones,william.jones300013@gmail.com,San Antonio,TX,2019-12-13
CUST-0300014,Carol Robinson,carol.robinson300014@mail.com,Houston,TX,2025-11-13
CUST-0300015,Jennifer Allen,jennifer.allen300015@protonmail.com,Nashville,TN,2020-07-07
CUST-0300016,Donald Harris,donald.harris300016@protonmail.com,Dallas,TX,2020-08-25
CUST-0300017,Sandra Jones,sandra.jones300017@yahoo.com,Fort Worth,TX,2023-01-26
CUST-0300018,Mark Flores,mark.flores300018@yahoo.com,Pittsburgh,PA,2025-10-06
CUST-0300019,Lisa White,lisa.white300019@aol.com,Phoenix,AZ,2023-10-03
CUST-0300020,Lisa Nguyen,lisa.nguyen300020@mail.com,Chicago,IL,2023-10-09
CUST-0300021,James Moore,james.moore300021@aol.com,Seattle,WA,2022-03-16
CUST-0300022,Donna Thomas,donna.thomas300022@hotmail.com,Detroit,MI,2020-06-24
CUST-0300023,David Brown,david.brown300023@outlook.com,Dallas,TX,2019-03-21
CUST-0300024,Sandra Sanchez,sandra.sanchez300024@aol.com,Dallas,TX,2025-03-24
CUST-0300025,Daniel Torres,daniel.torres300025@aol.com,Fort Worth,TX,2025-12-10
CUST-0300026,David Taylor,david.taylor300026@gmail.com,Seattle,WA,2021-09-06
CUST-0300027,Charles Scott,charles.scott300027@outlook.com,Nashville,TN,2024-10-01
CUST-0300028,Daniel Smith,daniel.smith300028@hotmail.com,Austin,TX,2025-10-26
CUST-0300029,Mary Wright,mary.wright300029@hotmail.com,San Antonio,TX,2022-12-31
CUST-0300030,Michelle Hernandez,,Chicago,IL,2018-12-16
CUST-0300031,Jennifer Lopez,jennifer.lopez300031@protonmail.com,Charlotte,NC,2019-03-02
CUST-0300032,Donna Gonzalez,donna.gonzalez300032@hotmail.com,Memphis,TN,2024-01-06
CUST-0300033,Betty Thomas,betty.thomas300033@mail.com,Los Angeles,CA,2023-11-04
CUST-0300034,Emily King,emily.king300034@yahoo.com,Houston,TX,2022-08-25
